point_name,point_number,x,y,z
bottom_left_corner,1,0.00,0.00,0.00
top_left_corner,2,0.00,9.00,0.00
bottom_right_corner,3,18.00,0.00,0.00
top_right_corner,4,18.00,9.00,0.00
midfield_left,5,9.00,0.00,0.00
midfield_right,6,9.00,9.00,0.00
center_field,7,9.00,4.50,0.00
attack_line_near_left,8,3.00,0.00,0.00
attack_line_near_right,9,3.00,9.00,0.00
attack_line_far_left,10,15.00,0.00,0.00
attack_line_far_right,11,15.00,9.00,0.00
net_post_left,12,9.00,0.00,0.00
net_post_right,13,9.00,9.00,0.00
service_zone_near_left,14,0.00,0.00,0.00
service_zone_near_right,15,0.00,9.00,0.00
service_zone_far_left,16,18.00,0.00,0.00
service_zone_far_right,17,18.00,9.00,0.00
