File_ID,Phase_Metric,Movement_Percent,Coupling_Angle_deg,Coordination_Pattern
s26_m1_t1,Axial_Turn,0.0,212.5788,In_Phase
s26_m1_t1,Axial_Turn,1.0,198.166,Proximal_Phase
s26_m1_t1,Axial_Turn,2.0,189.1813,Proximal_Phase
s26_m1_t1,Axial_Turn,3.0,187.7212,Proximal_Phase
s26_m1_t1,Axial_Turn,4.0,192.3143,Proximal_Phase
s26_m1_t1,Axial_Turn,5.0,199.4867,Proximal_Phase
s26_m1_t1,Axial_Turn,6.0,208.0873,In_Phase
s26_m1_t1,Axial_Turn,7.0,214.3103,In_Phase
s26_m1_t1,Axial_Turn,8.0,218.3804,In_Phase
s26_m1_t1,Axial_Turn,9.0,219.8477,In_Phase
s26_m1_t1,Axial_Turn,10.0,218.6959,In_Phase
s26_m1_t1,Axial_Turn,11.0,215.4146,In_Phase
s26_m1_t1,Axial_Turn,12.0,209.85,In_Phase
s26_m1_t1,Axial_Turn,13.0,204.0701,In_Phase
s26_m1_t1,Axial_Turn,14.0,199.1967,Proximal_Phase
s26_m1_t1,Axial_Turn,15.0,197.9851,Proximal_Phase
s26_m1_t1,Axial_Turn,16.0,200.8285,Proximal_Phase
s26_m1_t1,Axial_Turn,17.0,206.2091,In_Phase
s26_m1_t1,Axial_Turn,18.0,212.4774,In_Phase
s26_m1_t1,Axial_Turn,19.0,217.8159,In_Phase
s26_m1_t1,Axial_Turn,20.0,222.8178,In_Phase
s26_m1_t1,Axial_Turn,21.0,227.0611,In_Phase
s26_m1_t1,Axial_Turn,22.0,229.602,In_Phase
s26_m1_t1,Axial_Turn,23.0,229.0044,In_Phase
s26_m1_t1,Axial_Turn,24.0,222.0939,In_Phase
s26_m1_t1,Axial_Turn,25.0,212.0626,In_Phase
s26_m1_t1,Axial_Turn,26.0,204.7556,In_Phase
s26_m1_t1,Axial_Turn,27.0,205.925,In_Phase
s26_m1_t1,Axial_Turn,28.0,214.9784,In_Phase
s26_m1_t1,Axial_Turn,29.0,228.8521,In_Phase
s26_m1_t1,Axial_Turn,30.0,238.9496,In_Phase
s26_m1_t1,Axial_Turn,31.0,243.3475,In_Phase
s26_m1_t1,Axial_Turn,32.0,244.3675,In_Phase
s26_m1_t1,Axial_Turn,33.0,242.9819,In_Phase
s26_m1_t1,Axial_Turn,34.0,240.4522,In_Phase
s26_m1_t1,Axial_Turn,35.0,237.1412,In_Phase
s26_m1_t1,Axial_Turn,36.0,234.6202,In_Phase
s26_m1_t1,Axial_Turn,37.0,233.971,In_Phase
s26_m1_t1,Axial_Turn,38.0,237.0841,In_Phase
s26_m1_t1,Axial_Turn,39.0,240.4773,In_Phase
s26_m1_t1,Axial_Turn,40.0,240.3833,In_Phase
s26_m1_t1,Axial_Turn,41.0,237.1483,In_Phase
s26_m1_t1,Axial_Turn,42.0,232.755,In_Phase
s26_m1_t1,Axial_Turn,43.0,227.9086,In_Phase
s26_m1_t1,Axial_Turn,44.0,221.944,In_Phase
s26_m1_t1,Axial_Turn,45.0,216.6279,In_Phase
s26_m1_t1,Axial_Turn,46.0,212.7554,In_Phase
s26_m1_t1,Axial_Turn,47.0,211.7592,In_Phase
s26_m1_t1,Axial_Turn,48.0,214.1991,In_Phase
s26_m1_t1,Axial_Turn,49.0,218.7461,In_Phase
s26_m1_t1,Axial_Turn,50.0,225.6754,In_Phase
s26_m1_t1,Axial_Turn,51.0,232.309,In_Phase
s26_m1_t1,Axial_Turn,52.0,238.6888,In_Phase
s26_m1_t1,Axial_Turn,53.0,244.8391,In_Phase
s26_m1_t1,Axial_Turn,54.0,249.3594,Distal_Phase
s26_m1_t1,Axial_Turn,55.0,252.5331,Distal_Phase
s26_m1_t1,Axial_Turn,56.0,251.9169,Distal_Phase
s26_m1_t1,Axial_Turn,57.0,248.7591,Distal_Phase
s26_m1_t1,Axial_Turn,58.0,245.9948,In_Phase
s26_m1_t1,Axial_Turn,59.0,244.5564,In_Phase
s26_m1_t1,Axial_Turn,60.0,243.9996,In_Phase
s26_m1_t1,Axial_Turn,61.0,243.1715,In_Phase
s26_m1_t1,Axial_Turn,62.0,240.4502,In_Phase
s26_m1_t1,Axial_Turn,63.0,234.9757,In_Phase
s26_m1_t1,Axial_Turn,64.0,225.8277,In_Phase
s26_m1_t1,Axial_Turn,65.0,213.4201,In_Phase
s26_m1_t1,Axial_Turn,66.0,201.8114,Proximal_Phase
s26_m1_t1,Axial_Turn,67.0,191.1069,Proximal_Phase
s26_m1_t1,Axial_Turn,68.0,182.8526,Proximal_Phase
s26_m1_t1,Axial_Turn,69.0,178.3712,Proximal_Phase
s26_m1_t1,Axial_Turn,70.0,177.729,Proximal_Phase
s26_m1_t1,Axial_Turn,71.0,182.1893,Proximal_Phase
s26_m1_t1,Axial_Turn,72.0,189.4026,Proximal_Phase
s26_m1_t1,Axial_Turn,73.0,196.7966,Proximal_Phase
s26_m1_t1,Axial_Turn,74.0,200.2289,Proximal_Phase
s26_m1_t1,Axial_Turn,75.0,199.1234,Proximal_Phase
s26_m1_t1,Axial_Turn,76.0,194.8514,Proximal_Phase
s26_m1_t1,Axial_Turn,77.0,191.0469,Proximal_Phase
s26_m1_t1,Axial_Turn,78.0,190.4958,Proximal_Phase
s26_m1_t1,Axial_Turn,79.0,193.9276,Proximal_Phase
s26_m1_t1,Axial_Turn,80.0,200.7748,Proximal_Phase
s26_m1_t1,Axial_Turn,81.0,208.8124,In_Phase
s26_m1_t1,Axial_Turn,82.0,217.2288,In_Phase
s26_m1_t1,Axial_Turn,83.0,222.4137,In_Phase
s26_m1_t1,Axial_Turn,84.0,222.3112,In_Phase
s26_m1_t1,Axial_Turn,85.0,209.3364,In_Phase
s26_m1_t1,Axial_Turn,86.0,169.8826,Proximal_Phase
s26_m1_t1,Axial_Turn,87.0,132.0595,Anti_Phase
